# %ECSV 0.9
# ---
# datatype:
# - {name: e_ref, unit: MeV, datatype: float64}
# - {name: dnde, unit: 1 / (cm2 MeV s), datatype: float64}
# - {name: dnde_err, unit: 1 / (cm2 MeV s), datatype: float64}
# - {name: dnde_ul, unit: 1 / (cm2 MeV s), datatype: float64}
# - {name: ts, datatype: float64}
# - {name: is_ul, datatype: bool}
# schema: astropy-2.0
e_ref dnde dnde_err dnde_ul ts is_ul
69.4048787746 1.51540455069e-08 2.31695900053e-08 5.52384121039e-08 0.567632209946 True
92.8688355254 1.07008692569e-08 9.22490973151e-09 2.81876915191e-08 1.6547992411 True
124.265336445 1.8440380618e-08 6.27361613907e-09 2.98950832261e-08 14.483157177 True
166.274250929 2.01286730313e-08 4.06399848999e-09 2.74827702923e-08 53.9624542552 False
222.484622929 8.45730301119e-09 2.11919391886e-09 1.23482015151e-08 33.0082594568 False
297.700798827 6.81877325236e-09 1.3610512963e-09 9.30236208715e-09 72.4604865153 False
398.345577576 3.58507293395e-09 7.68130807366e-10 4.98741336585e-09 73.0768084965 False
533.01569831 1.69362346942e-09 4.47122384471e-10 2.52457926393e-09 42.0036950146 False
713.206019518 1.13880531445e-09 2.77331532182e-10 1.65212409538e-09 80.095612237 False
954.311154229 4.40757602489e-10 1.49931691017e-10 7.27645672722e-10 29.8336259011 False
1276.93855514 4.2768505659e-10 1.13662495175e-10 6.43184524007e-10 93.1366420843 False
1708.63776073 1.79853574544e-10 6.29090730007e-11 3.03491661874e-10 51.2711966805 False
2286.28306793 6.40256670664e-11 3.13645592496e-11 1.29490271859e-10 27.9710650013 False
3059.17977939 5.67079050494e-11 2.51732542915e-11 1.08284723047e-10 41.2968246214 False
4093.36055274 9.55348464632e-17 4.13066280436e-12 1.11732429039e-11 0.0 True
5477.21766293 1.21003956299e-11 8.57770802246e-12 3.20488346026e-11 20.1939465506 False
7328.92031881 4.30576361e-12 4.56810871738e-12 1.62620196158e-11 4.10502229271 True
9806.63474504 1.50426820274e-18 1.6737830593e-12 4.5284831564e-12 0.0 True
